554.00
16
425685
425685
0 1 1 27 67.00 10 (D 0,1,1) (S 18,4,6) (S 36,6,11) (S 8,10,10) (S 12,10,11) (S 40,7,8) (S 3,5,5) (S 10,5,8) (S 24,8,11) (D 0,1,1)
0 1 2 25 80.00 9 (D 0,1,2) (S 41,1,4) (S 27,4,9) (S 11,9,10) (S 16,7,10) (S 32,7,11) (S 5,7,7) (S 29,5,10) (D 0,1,2)
0 1 3 26 46.00 6 (D 0,1,3) (S 13,1,3) (S 33,3,11) (S 9,11,11) (S 21,7,9) (D 0,1,3)
0 1 4 23 44.00 6 (D 0,1,4) (S 14,2,6) (S 25,6,10) (S 7,9,9) (S 19,9,11) (D 0,1,4)
0 1 5 27 50.00 6 (D 0,1,5) (S 34,2,4) (S 38,2,7) (S 6,8,8) (S 31,5,9) (D 0,1,5)
0 1 6 22 37.00 5 (D 0,1,6) (S 4,6,6) (S 23,3,7) (S 37,8,9) (D 0,1,6)
0 1 7 6 12.00 3 (D 0,1,7) (S 22,4,7) (D 0,1,7)
0 1 8 9 12.00 3 (D 0,1,8) (S 35,1,5) (D 0,1,8)
0 1 9 8 13.00 3 (D 0,1,9) (S 30,6,8) (D 0,1,9)
0 1 10 7 14.00 3 (D 0,1,10) (S 17,6,7) (D 0,1,10)
0 1 11 21 34.00 5 (D 0,1,11) (S 39,2,3) (S 1,3,3) (S 28,3,8) (D 0,1,11)
0 1 12 6 17.00 3 (D 0,1,12) (S 26,2,5) (D 0,1,12)
0 1 13 7 18.00 3 (D 0,1,13) (S 20,3,9) (D 0,1,13)
0 1 14 6 34.00 3 (D 0,1,14) (S 15,3,4) (D 0,1,14)
0 1 15 23 38.00 3 (D 0,1,15) (S 2,4,4) (D 0,1,15)
0 1 16 23 38.00 3 (D 0,1,16) (S 0,2,2) (D 0,1,16)
