422.00
18
295081
295081
0 1 1 24 63.00 7 (D 0,1,1) (S 18,1,9) (S 28,9,10) (S 30,10,11) (S 8,9,11) (S 7,8,9) (D 0,1,1)
0 1 2 21 32.00 5 (D 0,1,2) (S 11,1,4) (S 20,4,9) (S 6,8,8) (D 0,1,2)
0 1 3 3 15.00 4 (D 0,1,3) (S 9,3,5) (S 27,5,11) (D 0,1,3)
0 1 4 5 7.00 3 (D 0,1,4) (S 15,1,10) (D 0,1,4)
0 1 5 8 16.00 4 (D 0,1,5) (S 17,2,6) (S 23,6,9) (D 0,1,5)
0 1 6 21 27.00 5 (D 0,1,6) (S 21,2,4) (S 33,1,2) (S 32,2,11) (D 0,1,6)
0 1 7 1 9.00 3 (D 0,1,7) (S 13,7,10) (D 0,1,7)
0 1 8 8 9.00 3 (D 0,1,8) (S 26,1,11) (D 0,1,8)
0 1 9 26 33.00 5 (D 0,1,9) (S 12,1,7) (S 31,1,6) (S 4,6,6) (D 0,1,9)
0 1 10 25 39.00 5 (D 0,1,10) (S 10,4,7) (S 5,7,7) (S 14,3,10) (D 0,1,10)
0 1 11 12 21.00 4 (D 0,1,11) (S 22,1,5) (S 29,5,10) (D 0,1,11)
0 1 12 8 13.00 3 (D 0,1,12) (S 19,6,8) (D 0,1,12)
0 1 13 13 27.00 4 (D 0,1,13) (S 16,2,5) (S 25,3,9) (D 0,1,13)
0 1 14 13 16.00 3 (D 0,1,14) (S 3,5,5) (D 0,1,14)
0 1 15 9 17.00 3 (D 0,1,15) (S 24,2,8) (D 0,1,15)
0 1 16 18 22.00 3 (D 0,1,16) (S 1,3,3) (D 0,1,16)
0 1 17 24 26.00 3 (D 0,1,17) (S 2,4,4) (D 0,1,17)
0 1 18 27 30.00 3 (D 0,1,18) (S 0,2,2) (D 0,1,18)
