240.00
14
1
0
0 1 1 20 46.00 7 (D 0,1,1) (S 13,1,3) (S 14,3,8) (S 22,5,7) (S 8,7,8) (S 6,6,8) (D 0,1,1)
0 1 2 17 42.00 5 (D 0,1,2) (S 15,1,7) (S 3,5,5) (S 9,5,8) (D 0,1,2)
0 1 3 16 20.00 4 (D 0,1,3) (S 23,1,8) (S 4,6,6) (D 0,1,3)
0 1 4 9 14.00 5 (D 0,1,4) (S 7,1,4) (S 2,4,4) (S 18,4,6) (D 0,1,4)
0 1 5 3 7.00 3 (D 0,1,5) (S 12,3,5) (D 0,1,5)
0 1 6 1 7.00 3 (D 0,1,6) (S 24,2,6) (D 0,1,6)
0 1 7 2 8.00 3 (D 0,1,7) (S 11,1,5) (D 0,1,7)
0 1 8 1 8.00 3 (D 0,1,8) (S 17,4,7) (D 0,1,8)
0 1 9 1 9.00 3 (D 0,1,9) (S 21,2,5) (D 0,1,9)
0 1 10 1 10.00 3 (D 0,1,10) (S 10,4,5) (D 0,1,10)
0 1 11 6 11.00 3 (D 0,1,11) (S 16,3,6) (D 0,1,11)
0 1 12 10 20.00 4 (D 0,1,12) (S 5,1,2) (S 20,2,7) (D 0,1,12)
0 1 13 14 22.00 4 (D 0,1,13) (S 0,2,2) (S 19,2,8) (D 0,1,13)
0 1 14 15 16.00 3 (D 0,1,14) (S 1,3,3) (D 0,1,14)
