4493.00
14
47000000
47000000
1 14 74.00 3 (D 1,1,1) (S 32,2,3) (D 1,1,1)
2 129 415.00 9 (D 1,1,2) (S 33,2,4) (S 36,5,7) (S 37,7,8) (S 3,8,8) (S 24,9,9) (S 40,10,11) (S 121,12,76) (D 1,1,2)
3 40 193.00 4 (D 1,1,3) (S 31,1,2) (S 35,5,6) (D 1,1,3)
4 114 386.00 6 (D 1,1,4) (S 38,8,9) (S 39,9,10) (S 20,12,12) (S 10,76,76) (D 1,1,4)
5 114 463.00 5 (D 1,1,5) (S 34,4,5) (S 41,11,12) (S 12,77,77) (D 1,1,5)
6 75 274.00 3 (D 1,1,6) (S 112,4,69) (D 1,1,6)
7 40 288.00 3 (D 1,1,7) (S 21,16,16) (D 1,1,7)
8 11 298.00 3 (D 1,1,8) (S 111,59,69) (D 1,1,8)
9 39 304.00 3 (D 1,1,9) (S 17,59,59) (D 1,1,9)
10 29 306.00 3 (D 1,1,10) (S 42,12,16) (D 1,1,10)
11 50 316.00 3 (D 1,1,11) (S 19,48,48) (D 1,1,11)
12 35 331.00 3 (D 1,1,12) (S 124,76,77) (D 1,1,12)
13 78 421.00 3 (D 1,1,13) (S 101,11,59) (D 1,1,13)
14 79 424.00 3 (D 1,1,14) (S 86,11,48) (D 1,1,14)
