22813.00
16
63000000
63000000
1 572 1071.00 11 (D 1,1,1) (S 1,2,2) (S 10,14,14) (S 30,36,36) (S 142,48,37) (S 124,37,38) (S 88,16,15) (S 158,58,57) (S 173,69,70) (S 56,70,70) (D 1,1,1)
2 156 193.00 3 (D 1,1,2) (S 9,13,13) (D 1,1,2)
3 387 620.00 5 (D 1,1,3) (S 141,47,58) (S 172,68,69) (S 55,69,69) (D 1,1,3)
4 289 469.00 4 (D 1,1,4) (S 73,3,14) (S 46,59,59) (D 1,1,4)
5 1705 2687.00 13 (D 1,1,5) (S 120,35,36) (S 99,23,24) (S 123,36,47) (S 44,56,56) (S 66,45,56) (S 53,67,67) (S 54,68,68) (S 12,16,16) (S 86,15,14) (S 106,27,38) (S 126,38,37) (D 1,1,5)
6 1060 1302.00 6 (D 1,1,6) (S 70,1,2) (S 71,2,3) (S 140,47,48) (S 143,48,59) (D 1,1,6)
7 315 369.00 3 (D 1,1,7) (S 72,2,13) (D 1,1,7)
8 1530 1946.00 8 (D 1,1,8) (S 102,25,36) (S 37,46,46) (S 156,57,46) (S 105,27,16) (S 87,16,5) (S 4,5,5) (D 1,1,8)
9 1158 1491.00 6 (D 1,1,9) (S 20,24,24) (S 101,24,25) (S 28,34,34) (S 100,24,13) (D 1,1,9)
10 1143 1473.00 6 (D 1,1,10) (S 84,14,25) (S 139,47,46) (S 32,38,38) (S 3,4,4) (D 1,1,10)
11 1447 1748.00 6 (D 1,1,11) (S 118,35,24) (S 122,36,35) (S 119,35,34) (S 19,23,23) (D 1,1,11)
12 1456 1731.00 6 (D 1,1,12) (S 31,37,37) (S 22,27,27) (S 11,15,15) (S 85,15,4) (D 1,1,12)
13 1451 1826.00 6 (D 1,1,13) (S 138,46,47) (S 157,57,68) (S 137,45,46) (S 38,48,48) (D 1,1,13)
14 1639 1925.00 6 (D 1,1,14) (S 2,3,3) (S 121,35,46) (S 45,57,57) (S 36,45,45) (D 1,1,14)
15 1649 2188.00 6 (D 1,1,15) (S 29,35,35) (S 21,25,25) (S 125,38,27) (S 67,56,67) (D 1,1,15)
16 1186 1774.00 4 (D 1,1,16) (S 68,67,68) (S 64,23,34) (D 1,1,16)
